"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","155.3885","153.5288","156.2503","153.4039","","1.21%"
"11/01/2025","153.5288","152.6386","156.1656","150.6620","","0.58%"
"10/01/2025","152.6386","146.9060","154.0658","143.7974","","3.90%"
"09/01/2025","146.9060","141.8926","146.9060","141.8926","","3.53%"
"08/01/2025","141.8926","138.4484","143.3342","137.6985","","2.49%"
"07/01/2025","138.4484","137.7875","141.1117","137.0047","","0.48%"
"06/01/2025","137.7875","136.3203","137.9940","136.3203","","1.08%"
"05/01/2025","136.3203","133.8060","136.7552","132.9721","","1.86%"
"04/01/2025","133.8310","132.3803","134.1950","131.6337","","1.10%"
"03/01/2025","132.3803","128.7308","132.3867","127.0000","","2.83%"
"02/01/2025","128.7308","127.9169","129.3499","125.9396","","0.64%"
"01/01/2025","127.9169","127.5975","128.7429","125.7488","","2.25%"
"12/01/2024","125.0975","126.6275","128.0650","120.2263","","0.74%"
"11/01/2024","124.1839","122.6004","126.6839","120.9405","","3.40%"
"10/01/2024","120.1004","118.4662","123.3500","117.2600","","3.57%"
"09/01/2024","115.9662","111.0682","120.4760","111.0146","","4.41%"
"08/01/2024","111.0682","79.7596","113.6483","77.2532","","39.25%"
"07/01/2024","79.7596","57.7315","79.7678","57.3220","","39.13%"
"06/01/2024","57.3265","57.4703","57.7345","56.9138","","0.48%"
"05/01/2024","57.0504","57.4048","57.4733","56.8038","","-0.62%"
"04/01/2024","57.4048","56.8246","57.4048","56.6500","","1.38%"
"03/01/2024","56.6236","56.7439","57.0118","56.6000","","0.29%"
"02/01/2024","56.4624","56.5959","56.7468","56.3532","","-0.24%"
"01/01/2024","56.5959","56.3266","56.6170","56.1350","","1.07%"
"12/01/2023","55.9969","56.1709","56.3484","55.6900","","-0.31%"
"11/01/2023","56.1709","55.8586","56.1781","55.4500","","1.22%"
"10/01/2023","55.4947","55.7224","55.8783","55.2250","","-0.41%"
"09/01/2023","55.7224","55.2538","55.7224","55.0100","","1.14%"
"08/01/2023","55.0944","55.0872","55.3699","54.7600","","0.61%"
"07/01/2023","54.7611","55.0038","55.1097","54.5200","","-0.44%"
"06/01/2023","55.0038","54.6034","55.1183","54.2900","","1.29%"
"05/01/2023","54.3041","54.5362","54.7277","54.1400","","0.25%"
"04/01/2023","54.1696","54.4027","54.6012","53.9000","","-0.43%"
"03/01/2023","54.4027","53.7974","54.4971","53.7050","","1.22%"
"02/01/2023","53.7445","53.6609","54.0537","53.4800","","0.51%"
"01/01/2023","53.4716","53.5945","54.0058","53.4500","","0.25%"
"12/01/2022","53.3387","53.4421","53.7453","53.2901","","-0.19%"
"11/01/2022","53.4421","53.3640","53.5410","52.8450","","0.15%"
"10/01/2022","53.3640","52.8415","53.3640","52.5500","","1.47%"
"09/01/2022","52.5893","52.7777","53.0191","52.4100","","0.24%"
"08/01/2022","52.4617","52.6182","52.8571","52.1250","","-0.30%"
"07/01/2022","52.6182","52.1547","52.6326","52.0560","","1.20%"
"06/01/2022","51.9938","51.9417","52.3441","51.5800","","0.83%"
"05/01/2022","51.5678","51.8573","51.9869","51.3500","","-0.56%"
"04/01/2022","51.8573","51.3673","51.8652","51.0536","","1.71%"
"03/01/2022","50.9867","51.2635","51.4160","50.7800","","-0.54%"
"02/01/2022","51.2635","49.8503","51.3161","49.8255","","2.94%"
"01/01/2022","49.7983","49.5480","50.0583","49.2858","","1.23%"
"12/01/2021","49.1936","48.2281","49.6851","47.9000","","2.75%"
"11/01/2021","47.8791","47.4389","48.2590","47.1750","","1.40%"
"10/01/2021","47.2184","46.3509","47.4436","46.2600","","2.42%"
"09/01/2021","46.1007","45.6814","46.4821","45.6495","","1.36%"
"08/01/2021","45.4827","44.3908","45.7101","44.3022","","2.66%"
"07/01/2021","44.3046","43.8581","44.5023","43.7000","","1.40%"
"06/01/2021","43.6910","43.5552","43.9095","43.0500","","0.20%"
"05/01/2021","43.6018","42.1025","43.6018","41.8200","","3.96%"
"04/01/2021","41.9424","41.5346","42.1178","41.3170","","1.51%"
"03/01/2021","41.3165","40.3518","41.5430","39.9000","","2.39%"
"02/01/2021","40.3518","39.4845","40.3559","39.2950","","2.32%"
"01/01/2021","39.4355","39.3572","39.6140","39.2000","","0.65%"
"12/01/2020","39.1809","38.2584","39.3768","38.1000","","2.97%"
"11/01/2020","38.0516","38.0060","38.2664","37.5500","","0.12%"
"10/01/2020","38.0060","36.9153","38.0471","36.7500","","3.50%"
"09/01/2020","36.7223","36.6318","36.9264","36.3276","","0.25%"
"08/01/2020","36.6318","35.2243","36.6318","35.1470","","4.24%"
